ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
JBMA,JBM Auto Ltd,Automobile and Auto Components,14.69,22.52,32.64,64.72,FY2021-FY2025,2025-12-25
JKTYRE,JK Tyre & Industries Ltd,Automobile and Auto Components,12.06,10.05,6.86,20.36,FY2021-FY2025,2025-12-25
JMFINANCIL,JM Financial Ltd,Financial Services,8.83,6.55,6.77,11.12,FY2021-FY2025,2025-12-25
JSWCEMENT,JSW Cement Ltd,Construction Materials,11.29,9.96,-17.46,,FY2021-FY2025,2025-12-25
JSWDULUX,JSW Dulux Ltd,Consumer Durables,25.96,10.94,15.65,7.33,FY2021-FY2025,2025-12-25
JSWENERGY,JSW Energy Ltd,Power,8.48,11.15,18.19,37.33,FY2021-FY2025,2025-12-25
JSWINFRA,JSW Infrastructure Ltd,Services,15.66,22.78,-31.65,37.26,FY2021-FY2025,2025-12-25
JSWSTEEL,JSW Steel Ltd,Metals & Mining,15.89,16.16,-15.23,36.0,FY2021-FY2025,2025-12-25
JAINREC,Jain Resource Recycling Ltd,Metals & Mining,51.61,,,41.74,FY2021-FY2025,2025-12-25
JPPOWER,Jaiprakash Power Ventures Ltd,Power,4.1,10.59,25.0,19.33,FY2021-FY2025,2025-12-25
J&KBANK,Jammu and Kashmir Bank Ltd,Banks,11.62,9.11,25.77,5.14,FY2021-FY2025,2025-12-25
JINDALSAW,Jindal Saw Ltd,Capital Goods,9.43,14.33,40.36,9.59,FY2021-FY2025,2025-12-25
JSL,Jindal Stainless Ltd,Metals & Mining,23.53,26.39,28.74,22.35,FY2021-FY2025,2025-12-25
JINDALSTEL,Jindal Steel Ltd,Metals & Mining,12.93,7.71,-4.99,52.06,FY2021-FY2025,2025-12-25
JIOFIN,Jio Financial Services Ltd,Financial Services,3.6,21.61,,271.55,FY2021-FY2025,2025-12-25
JUBLFOOD,Jubilant Foodworks Ltd,Consumer Services,17.96,19.71,-1.89,94.23,FY2021-FY2025,2025-12-25
JUBLINGREA,Jubilant Ingrevia Ltd,Chemicals,11.05,43.61,35.84,43.27,FY2021-FY2025,2025-12-25
JUBLPHARMA,Jubilant Pharmova Ltd,Healthcare,7.76,3.47,0.08,39.83,FY2021-FY2025,2025-12-25
JWL,Jupiter Wagons Ltd,Capital Goods,17.16,31.81,8.56,58.21,FY2021-FY2025,2025-12-25
JYOTICNC,Jyoti CNC Automation Ltd,Capital Goods,7.44,29.88,,58.11,FY2021-FY2025,2025-12-25
KPRMILL,K P R Mill Ltd,Textiles,23.17,12.61,9.76,38.65,FY2021-FY2025,2025-12-25
KEI,KEI Industries Ltd,Capital Goods,18.37,18.41,19.16,48.96,FY2021-FY2025,2025-12-25
KPITTECH,KPIT Technologies Ltd,Information Technology,25.17,23.47,41.87,46.9,FY2021-FY2025,2025-12-25
KAJARIACER,Kajaria Ceramics Ltd,Consumer Durables,16.13,10.76,-0.93,43.46,FY2021-FY2025,2025-12-25
